,entry1,entry2,link,value,name,pathway
0,69,65,ECrel,17,compound,hsa00565
1,65,72,ECrel,17,compound,hsa00565
2,69,70,ECrel,11,compound,hsa00565
3,69,71,ECrel,11,compound,hsa00565
4,70,72,ECrel,11,compound,hsa00565
5,71,72,ECrel,11,compound,hsa00565
6,70,67,ECrel,20,compound,hsa00565
7,71,67,ECrel,20,compound,hsa00565
8,62,67,ECrel,14,compound,hsa00565
9,66,62,ECrel,14,compound,hsa00565
10,66,67,ECrel,14,compound,hsa00565
11,75,66,ECrel,26,compound,hsa00565
12,75,74,ECrel,10,compound,hsa00565
13,75,73,ECrel,10,compound,hsa00565
14,75,78,ECrel,10,compound,hsa00565
15,75,77,ECrel,10,compound,hsa00565
16,78,74,ECrel,10,compound,hsa00565
17,77,74,ECrel,10,compound,hsa00565
18,78,73,ECrel,10,compound,hsa00565
19,77,73,ECrel,10,compound,hsa00565
20,77,78,ECrel,10,compound,hsa00565
21,76,86,ECrel,15,compound,hsa00565
22,83,76,ECrel,15,compound,hsa00565
23,76,73,ECrel,15,compound,hsa00565
24,76,74,ECrel,15,compound,hsa00565
25,83,86,ECrel,15,compound,hsa00565
26,73,86,ECrel,15,compound,hsa00565
27,86,74,ECrel,15,compound,hsa00565
28,83,73,ECrel,15,compound,hsa00565
29,83,74,ECrel,15,compound,hsa00565
30,60,29,maplink,18,compound,hsa00565
31,92,62,ECrel,14,compound,hsa00565
32,92,66,ECrel,14,compound,hsa00565
33,92,67,ECrel,14,compound,hsa00565
34,92,93,ECrel,89,compound,hsa00565
