,entry1,entry2,link,value,name,pathway
0,76,89,ECrel,24,compound,hsa00770
1,72,74,ECrel,26,compound,hsa00770
2,71,89,ECrel,32,compound,hsa00770
3,71,72,ECrel,27,compound,hsa00770
4,72,92,ECrel,27,compound,hsa00770
5,69,72,ECrel,27,compound,hsa00770
6,71,92,ECrel,27,compound,hsa00770
7,69,71,ECrel,27,compound,hsa00770
8,67,92,ECrel,28,compound,hsa00770
9,67,69,ECrel,28,compound,hsa00770
10,77,78,ECrel,34,compound,hsa00770
11,78,79,ECrel,35,compound,hsa00770
12,77,14,maplink,33,compound,hsa00770
13,76,17,maplink,24,compound,hsa00770
14,89,17,maplink,24,compound,hsa00770
15,77,98,ECrel,33,compound,hsa00770
16,14,98,maplink,33,compound,hsa00770
17,13,98,maplink,97,compound,hsa00770
18,103,67,ECrel,31,compound,hsa00770
19,76,107,ECrel,102,compound,hsa00770
20,107,17,maplink,102,compound,hsa00770
21,107,74,ECrel,26,compound,hsa00770
22,107,72,ECrel,26,compound,hsa00770
23,16,107,maplink,25,compound,hsa00770
24,114,14,maplink,33,compound,hsa00770
25,114,77,ECrel,33,compound,hsa00770
26,114,98,ECrel,33,compound,hsa00770
