,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C05761,cpd:C05761,cpd:C06424,cpd:C06424,reaction,rn:R08159,irreversible,191,42,hsa00061
1,cpd:C05223,cpd:C05223,cpd:C02679,cpd:C02679,reaction,rn:R04014,irreversible,184,43,hsa00061
2,cpd:C05755,cpd:C05755,cpd:C01571,cpd:C01571,reaction,rn:R08158,irreversible,183,44,hsa00061
3,cpd:C05752,cpd:C05752,cpd:C06423,cpd:C06423,reaction,rn:R08157,irreversible,176,45,hsa00061
4,cpd:C05764,cpd:C05764,cpd:C16219,cpd:C16219,reaction,rn:R07762,irreversible,193,36,hsa00061
5,cpd:C01209,cpd:C01209,cpd:C16219,cpd:C16219,reaction,rn:R07762,irreversible,165,36,hsa00061
6,cpd:C05761,cpd:C05761,cpd:C05762,cpd:C05762,reaction,rn:R04968,irreversible,191,196,hsa00061
7,cpd:C01209,cpd:C01209,cpd:C05762,cpd:C05762,reaction,rn:R04968,irreversible,165,196,hsa00061
8,cpd:C05223,cpd:C05223,cpd:C05759,cpd:C05759,reaction,rn:R04726,irreversible,184,188,hsa00061
9,cpd:C01209,cpd:C01209,cpd:C05759,cpd:C05759,reaction,rn:R04726,irreversible,165,188,hsa00061
10,cpd:C05755,cpd:C05755,cpd:C05756,cpd:C05756,reaction,rn:R04963,irreversible,183,187,hsa00061
11,cpd:C01209,cpd:C01209,cpd:C05756,cpd:C05756,reaction,rn:R04963,irreversible,165,187,hsa00061
12,cpd:C05752,cpd:C05752,cpd:C05753,cpd:C05753,reaction,rn:R04960,irreversible,176,180,hsa00061
13,cpd:C01209,cpd:C01209,cpd:C05753,cpd:C05753,reaction,rn:R04960,irreversible,165,180,hsa00061
14,cpd:C05749,cpd:C05749,cpd:C05750,cpd:C05750,reaction,rn:R04957,irreversible,175,179,hsa00061
15,cpd:C01209,cpd:C01209,cpd:C05750,cpd:C05750,reaction,rn:R04957,irreversible,165,179,hsa00061
16,cpd:C05745,cpd:C05745,cpd:C05746,cpd:C05746,reaction,rn:R04952,irreversible,170,172,hsa00061
17,cpd:C01209,cpd:C01209,cpd:C05746,cpd:C05746,reaction,rn:R04952,irreversible,165,172,hsa00061
18,cpd:C05764,cpd:C05764,cpd:C00249,cpd:C00249,reaction,rn:R01706,irreversible,193,192,hsa00061
19,cpd:C05763,cpd:C05763,cpd:C05764,cpd:C05764,reaction,rn:R04970,reversible,194,193,hsa00061
20,cpd:C04633,cpd:C04633,cpd:C05763,cpd:C05763,reaction,rn:R04544,reversible,195,194,hsa00061
21,cpd:C05762,cpd:C05762,cpd:C04633,cpd:C04633,reaction,rn:R04543,reversible,196,195,hsa00061
22,cpd:C05761,cpd:C05761,cpd:C05762,cpd:C05762,reaction,rn:R04968,irreversible,191,196,hsa00061
23,cpd:C01209,cpd:C01209,cpd:C05762,cpd:C05762,reaction,rn:R04968,irreversible,165,196,hsa00061
24,cpd:C05760,cpd:C05760,cpd:C05761,cpd:C05761,reaction,rn:R04967,reversible,190,191,hsa00061
25,cpd:C04688,cpd:C04688,cpd:C05760,cpd:C05760,reaction,rn:R04568,reversible,189,190,hsa00061
26,cpd:C05759,cpd:C05759,cpd:C04688,cpd:C04688,reaction,rn:R04566,reversible,188,189,hsa00061
27,cpd:C05223,cpd:C05223,cpd:C05759,cpd:C05759,reaction,rn:R04726,irreversible,184,188,hsa00061
28,cpd:C01209,cpd:C01209,cpd:C05759,cpd:C05759,reaction,rn:R04726,irreversible,165,188,hsa00061
29,cpd:C05758,cpd:C05758,cpd:C05223,cpd:C05223,reaction,rn:R04725,reversible,185,184,hsa00061
30,cpd:C05757,cpd:C05757,cpd:C05758,cpd:C05758,reaction,rn:R04965,reversible,186,185,hsa00061
31,cpd:C05756,cpd:C05756,cpd:C05757,cpd:C05757,reaction,rn:R04964,reversible,187,186,hsa00061
32,cpd:C05755,cpd:C05755,cpd:C05756,cpd:C05756,reaction,rn:R04963,irreversible,183,187,hsa00061
33,cpd:C01209,cpd:C01209,cpd:C05756,cpd:C05756,reaction,rn:R04963,irreversible,165,187,hsa00061
34,cpd:C05754,cpd:C05754,cpd:C05755,cpd:C05755,reaction,rn:R04962,reversible,182,183,hsa00061
35,cpd:C04619,cpd:C04619,cpd:C05754,cpd:C05754,reaction,rn:R04535,reversible,181,182,hsa00061
