,entry1,entry2,link,value,name,pathway
0,60,64,ECrel,80,compound,hsa00561
1,58,60,ECrel,80,compound,hsa00561
2,55,58,ECrel,82,compound,hsa00561
3,55,64,ECrel,82,compound,hsa00561
4,52,55,ECrel,77,compound,hsa00561
5,50,52,ECrel,87,compound,hsa00561
6,48,52,ECrel,87,compound,hsa00561
7,48,50,ECrel,87,compound,hsa00561
8,50,51,ECrel,101,compound,hsa00561
9,46,51,ECrel,101,compound,hsa00561
10,47,51,ECrel,85,compound,hsa00561
11,47,51,ECrel,101,compound,hsa00561
12,46,50,ECrel,101,compound,hsa00561
13,47,50,ECrel,101,compound,hsa00561
14,46,47,ECrel,75,compound,hsa00561
15,46,47,ECrel,101,compound,hsa00561
16,45,48,ECrel,88,compound,hsa00561
17,48,73,ECrel,88,compound,hsa00561
18,41,51,ECrel,85,compound,hsa00561
19,51,65,ECrel,85,compound,hsa00561
20,41,47,ECrel,75,compound,hsa00561
21,41,47,ECrel,85,compound,hsa00561
22,47,65,ECrel,75,compound,hsa00561
23,47,65,ECrel,85,compound,hsa00561
24,46,73,ECrel,75,compound,hsa00561
25,47,73,ECrel,75,compound,hsa00561
26,41,73,ECrel,75,compound,hsa00561
27,65,73,ECrel,75,compound,hsa00561
28,42,73,ECrel,75,compound,hsa00561
29,45,46,ECrel,75,compound,hsa00561
30,45,47,ECrel,75,compound,hsa00561
31,41,45,ECrel,75,compound,hsa00561
32,45,65,ECrel,75,compound,hsa00561
33,42,45,ECrel,75,compound,hsa00561
34,41,46,ECrel,75,compound,hsa00561
35,46,65,ECrel,75,compound,hsa00561
36,42,46,ECrel,75,compound,hsa00561
37,42,47,ECrel,75,compound,hsa00561
38,40,49,maplink,76,compound,hsa00561
39,53,49,maplink,76,compound,hsa00561
40,53,40,maplink,76,compound,hsa00561
41,51,62,maplink,85,compound,hsa00561
42,47,62,maplink,85,compound,hsa00561
43,41,62,maplink,85,compound,hsa00561
44,65,62,maplink,85,compound,hsa00561
45,51,58,ECrel,82,compound,hsa00561
46,51,64,ECrel,82,compound,hsa00561
47,51,55,ECrel,82,compound,hsa00561
48,40,48,maplink,88,compound,hsa00561
49,40,45,maplink,88,compound,hsa00561
50,40,73,maplink,88,compound,hsa00561
51,60,141,ECrel,79,compound,hsa00561
52,141,49,maplink,142,compound,hsa00561
