,entry1,entry2,link,value,name,pathway
0,33,34,PCrel,-->,activation,hsa04928
1,34,53,PPrel,-->,activation,hsa04928
2,63,64,PCrel,-->,activation,hsa04928
3,34,47,PPrel,-->,activation,hsa04928
4,47,44,PPrel,-->,activation,hsa04928
5,44,45,PCrel,-->,activation,hsa04928
6,45,42,PCrel,-->,activation,hsa04928
7,79,80,PCrel,-->,activation,hsa04928
8,191,192,PPrel,-->,activation,hsa04928
9,194,195,PPrel,-->,activation,hsa04928
10,35,36,PPrel,-->,activation,hsa04928
11,56,36,PPrel,-->,activation,hsa04928
12,36,87,PPrel,-->,activation,hsa04928
13,87,88,PPrel,-->,activation,hsa04928
14,36,19,PPrel,-->,activation,hsa04928
15,19,16,PPrel,-->,activation,hsa04928
16,16,122,PCrel,-->,activation,hsa04928
17,16,17,PCrel,-->,activation,hsa04928
18,122,91,PCrel,-->,activation,hsa04928
19,17,14,PCrel,-->,activation,hsa04928
20,15,91,PCrel,-->,activation,hsa04928
21,36,26,PPrel,-->,activation,hsa04928
22,26,21,PPrel,-->,activation,hsa04928
23,21,22,PCrel,-->,activation,hsa04928
24,22,28,PCrel,-->,activation,hsa04928
25,36,96,PPrel,-->,activation,hsa04928
26,96,97,PPrel,-->,activation,hsa04928
27,97,98,PPrel,-->,activation,hsa04928
28,98,99,PPrel,-->,activation,hsa04928
29,36,92,PPrel,-->,activation,hsa04928
30,92,93,PPrel,-->,activation,hsa04928
31,93,209,PPrel,-->,activation,hsa04928
32,209,94,PPrel,-->,activation,hsa04928
33,62,55,GErel,-->,expression,hsa04928
34,186,55,GErel,-->,expression,hsa04928
35,61,55,GErel,-->,expression,hsa04928
36,187,55,GErel,-->,expression,hsa04928
37,170,110,GErel,-->,expression,hsa04928
38,177,108,GErel,-->,expression,hsa04928
39,213,138,GErel,-->,expression,hsa04928
40,213,139,GErel,-->,expression,hsa04928
41,111,109,GErel,-->,expression,hsa04928
42,111,129,GErel,-->,expression,hsa04928
43,111,132,GErel,-->,expression,hsa04928
44,111,133,GErel,-->,expression,hsa04928
45,144,145,GErel,-->,expression,hsa04928
46,80,55,GErel,--|,repression,hsa04928
47,195,55,GErel,--|,repression,hsa04928
48,192,193,PPrel,---,binding/association,hsa04928
49,149,144,PPrel,---,binding/association,hsa04928
50,53,63,PPrel,--|,inhibition,hsa04928
51,155,105,PPrel,---,binding/association,hsa04928
52,28,106,PPrel,-->,activation,hsa04928
53,28,106,PPrel,..>,indirect effect,hsa04928
54,28,107,PPrel,--|,inhibition,hsa04928
55,28,107,PPrel,..>,indirect effect,hsa04928
56,28,170,PPrel,--|,inhibition,hsa04928
57,28,170,PPrel,..>,indirect effect,hsa04928
58,91,104,PPrel,-->,activation,hsa04928
59,91,104,PPrel,+p,phosphorylation,hsa04928
60,91,105,PPrel,-->,activation,hsa04928
61,91,105,PPrel,+p,phosphorylation,hsa04928
62,28,104,PPrel,-->,activation,hsa04928
63,28,104,PPrel,+p,phosphorylation,hsa04928
64,28,105,PPrel,-->,activation,hsa04928
65,28,105,PPrel,+p,phosphorylation,hsa04928
66,28,135,PPrel,-->,activation,hsa04928
67,28,135,PPrel,+p,phosphorylation,hsa04928
68,28,111,PPrel,-->,activation,hsa04928
69,28,111,PPrel,+p,phosphorylation,hsa04928
70,28,144,PPrel,-->,activation,hsa04928
71,28,144,PPrel,+p,phosphorylation,hsa04928
72,28,177,GErel,-->,expression,hsa04928
73,28,177,GErel,..>,indirect effect,hsa04928
74,94,95,PPrel,-->,activation,hsa04928
75,94,95,PPrel,..>,indirect effect,hsa04928
76,88,89,PPrel,-->,activation,hsa04928
77,88,89,PPrel,+p,phosphorylation,hsa04928
78,89,90,PPrel,-->,activation,hsa04928
79,89,90,PPrel,+p,phosphorylation,hsa04928
