,entry1,entry2,link,value,name,pathway
0,61,74,ECrel,69,compound,hsa05204
1,61,73,ECrel,68,compound,hsa05204
2,59,74,ECrel,66,compound,hsa05204
3,72,74,ECrel,66,compound,hsa05204
4,59,72,ECrel,66,compound,hsa05204
5,107,118,ECrel,90,compound,hsa05204
6,99,118,ECrel,90,compound,hsa05204
7,108,118,ECrel,90,compound,hsa05204
8,117,99,ECrel,90,compound,hsa05204
9,117,108,ECrel,90,compound,hsa05204
10,117,107,ECrel,90,compound,hsa05204
11,108,119,ECrel,100,compound,hsa05204
12,108,120,ECrel,100,compound,hsa05204
13,108,113,ECrel,100,compound,hsa05204
14,99,119,ECrel,100,compound,hsa05204
15,99,120,ECrel,100,compound,hsa05204
16,99,113,ECrel,100,compound,hsa05204
17,107,119,ECrel,100,compound,hsa05204
18,107,120,ECrel,100,compound,hsa05204
19,107,113,ECrel,100,compound,hsa05204
20,119,113,ECrel,100,compound,hsa05204
21,120,113,ECrel,100,compound,hsa05204
22,77,88,ECrel,85,compound,hsa05204
23,77,78,ECrel,81,compound,hsa05204
24,78,89,ECrel,82,compound,hsa05204
25,88,79,ECrel,80,compound,hsa05204
26,132,133,ECrel,136,compound,hsa05204
27,142,143,ECrel,139,compound,hsa05204
28,142,144,ECrel,139,compound,hsa05204
29,153,321,ECrel,150,compound,hsa05204
30,154,155,ECrel,157,compound,hsa05204
