,entry1,entry2,link,value,name,pathway
0,118,11,PCrel,-->,activation,hsa05171
1,11,18,PCrel,-->,activation,hsa05171
2,625,624,PCrel,-->,activation,hsa05171
3,624,317,PCrel,-->,activation,hsa05171
4,201,202,PPrel,-->,activation,hsa05171
5,201,412,PPrel,-->,activation,hsa05171
6,201,203,PPrel,-->,activation,hsa05171
7,416,425,PPrel,-->,activation,hsa05171
8,418,426,PPrel,-->,activation,hsa05171
9,428,429,PPrel,-->,activation,hsa05171
10,429,427,PPrel,-->,activation,hsa05171
11,427,448,PPrel,-->,activation,hsa05171
12,448,447,PPrel,-->,activation,hsa05171
13,447,444,PPrel,-->,activation,hsa05171
14,207,1411,PPrel,-->,activation,hsa05171
15,1411,209,PPrel,-->,activation,hsa05171
16,209,205,PPrel,-->,activation,hsa05171
17,622,634,PPrel,-->,activation,hsa05171
18,634,636,PPrel,-->,activation,hsa05171
19,634,637,PPrel,-->,activation,hsa05171
20,637,1189,PCrel,-->,activation,hsa05171
21,1189,638,PCrel,-->,activation,hsa05171
22,240,242,PPrel,-->,activation,hsa05171
23,242,243,PPrel,-->,activation,hsa05171
24,243,278,PPrel,-->,activation,hsa05171
25,278,1412,PPrel,-->,activation,hsa05171
26,219,243,PPrel,-->,activation,hsa05171
27,218,300,PPrel,-->,activation,hsa05171
28,241,251,PPrel,-->,activation,hsa05171
29,250,251,PPrel,-->,activation,hsa05171
30,251,300,PPrel,-->,activation,hsa05171
31,300,1413,PPrel,-->,activation,hsa05171
32,657,660,PCrel,-->,activation,hsa05171
33,660,658,PCrel,-->,activation,hsa05171
34,659,252,PPrel,-->,activation,hsa05171
35,1303,1310,PPrel,-->,activation,hsa05171
36,1304,1310,PPrel,-->,activation,hsa05171
37,1302,1304,PPrel,-->,activation,hsa05171
38,1245,1317,PPrel,-->,activation,hsa05171
39,1245,1316,PPrel,-->,activation,hsa05171
40,1242,1302,PPrel,-->,activation,hsa05171
41,1241,1242,PPrel,-->,activation,hsa05171
42,1242,1276,PPrel,-->,activation,hsa05171
43,1276,1281,PPrel,-->,activation,hsa05171
44,1260,1268,PPrel,-->,activation,hsa05171
45,1251,1268,PPrel,-->,activation,hsa05171
46,1251,1266,PPrel,-->,activation,hsa05171
47,1248,1267,PPrel,-->,activation,hsa05171
48,630,622,PPrel,---,binding/association,hsa05171
49,1059,250,PPrel,---,binding/association,hsa05171
50,658,659,PPrel,---,binding/association,hsa05171
51,256,257,PPrel,---,binding/association,hsa05171
52,258,259,PPrel,---,binding/association,hsa05171
53,350,259,PPrel,---,binding/association,hsa05171
54,1290,1245,PPrel,---,binding/association,hsa05171
55,6,14,PCrel,-/-,missing interaction,hsa05171
56,14,27,PCrel,-/-,missing interaction,hsa05171
57,317,320,GErel,-->,expression,hsa05171
58,317,319,GErel,-->,expression,hsa05171
59,317,318,GErel,-->,expression,hsa05171
60,317,321,GErel,-->,expression,hsa05171
61,317,323,GErel,-->,expression,hsa05171
62,317,324,GErel,-->,expression,hsa05171
63,317,325,GErel,-->,expression,hsa05171
64,317,326,GErel,-->,expression,hsa05171
65,245,215,GErel,-->,expression,hsa05171
66,245,214,GErel,-->,expression,hsa05171
67,245,213,GErel,-->,expression,hsa05171
68,245,216,GErel,-->,expression,hsa05171
69,245,696,GErel,-->,expression,hsa05171
70,252,311,GErel,-->,expression,hsa05171
71,252,314,GErel,-->,expression,hsa05171
72,259,281,GErel,-->,expression,hsa05171
73,259,260,GErel,-->,expression,hsa05171
74,259,275,GErel,-->,expression,hsa05171
75,259,299,GErel,-->,expression,hsa05171
76,1064,252,PPrel,---,binding/association,hsa05171
77,379,1414,PCrel,-/-,missing interaction,hsa05171
78,444,681,GErel,-->,expression,hsa05171
79,693,694,PPrel,-->,activation,hsa05171
80,425,443,PPrel,-->,activation,hsa05171
81,425,443,PPrel,..>,indirect effect,hsa05171
82,622,689,PPrel,-->,activation,hsa05171
83,622,689,PPrel,..>,indirect effect,hsa05171
84,282,296,PPrel,-->,activation,hsa05171
85,282,296,PPrel,..>,indirect effect,hsa05171
86,1266,1269,PPrel,-->,activation,hsa05171
87,1266,1269,PPrel,..>,indirect effect,hsa05171
88,1266,1270,PPrel,-->,activation,hsa05171
89,1266,1270,PPrel,..>,indirect effect,hsa05171
90,296,297,PPrel,-->,activation,hsa05171
91,296,297,PPrel,+p,phosphorylation,hsa05171
92,282,303,PPrel,-->,activation,hsa05171
93,282,303,PPrel,+p,phosphorylation,hsa05171
94,303,244,PPrel,-->,activation,hsa05171
95,303,244,PPrel,+p,phosphorylation,hsa05171
96,1413,252,PPrel,-->,activation,hsa05171
97,1413,252,PPrel,+p,phosphorylation,hsa05171
98,257,258,PPrel,-->,activation,hsa05171
99,257,258,PPrel,+p,phosphorylation,hsa05171
100,257,350,PPrel,-->,activation,hsa05171
101,257,350,PPrel,+p,phosphorylation,hsa05171
