,entry1,entry2,link,value,name,pathway
0,267,231,PPrel,-->,activation,hsa04060
1,248,231,PPrel,-->,activation,hsa04060
2,246,231,PPrel,-->,activation,hsa04060
3,245,231,PPrel,-->,activation,hsa04060
4,267,232,PPrel,-->,activation,hsa04060
5,248,232,PPrel,-->,activation,hsa04060
6,246,232,PPrel,-->,activation,hsa04060
7,245,232,PPrel,-->,activation,hsa04060
8,266,232,PPrel,-->,activation,hsa04060
9,265,232,PPrel,-->,activation,hsa04060
10,247,232,PPrel,-->,activation,hsa04060
11,237,230,PPrel,-->,activation,hsa04060
12,446,230,PPrel,-->,activation,hsa04060
13,244,230,PPrel,-->,activation,hsa04060
14,243,230,PPrel,-->,activation,hsa04060
15,242,230,PPrel,-->,activation,hsa04060
16,240,230,PPrel,-->,activation,hsa04060
17,240,228,PPrel,-->,activation,hsa04060
18,241,229,PPrel,-->,activation,hsa04060
19,241,346,PPrel,-->,activation,hsa04060
20,239,227,PPrel,-->,activation,hsa04060
21,235,226,PPrel,-->,activation,hsa04060
22,234,226,PPrel,-->,activation,hsa04060
23,233,225,PPrel,-->,activation,hsa04060
24,196,659,PPrel,-->,activation,hsa04060
25,196,660,PPrel,-->,activation,hsa04060
26,195,661,PPrel,-->,activation,hsa04060
27,194,662,PPrel,-->,activation,hsa04060
28,193,663,PPrel,-->,activation,hsa04060
29,192,664,PPrel,-->,activation,hsa04060
30,191,665,PPrel,-->,activation,hsa04060
31,190,666,PPrel,-->,activation,hsa04060
32,198,667,PPrel,-->,activation,hsa04060
33,197,668,PPrel,-->,activation,hsa04060
34,199,669,PPrel,-->,activation,hsa04060
35,52,633,PPrel,-->,activation,hsa04060
36,52,670,PPrel,-->,activation,hsa04060
37,52,671,PPrel,-->,activation,hsa04060
38,215,670,PPrel,-->,activation,hsa04060
39,215,671,PPrel,-->,activation,hsa04060
40,215,631,PPrel,-->,activation,hsa04060
41,215,632,PPrel,-->,activation,hsa04060
42,189,170,PPrel,-->,activation,hsa04060
43,188,169,PPrel,-->,activation,hsa04060
44,187,169,PPrel,-->,activation,hsa04060
45,186,168,PPrel,-->,activation,hsa04060
46,185,167,PPrel,-->,activation,hsa04060
47,216,207,PPrel,-->,activation,hsa04060
48,627,628,PPrel,-->,activation,hsa04060
49,224,672,PPrel,-->,activation,hsa04060
50,223,673,PPrel,-->,activation,hsa04060
51,214,674,PPrel,-->,activation,hsa04060
52,213,675,PPrel,-->,activation,hsa04060
53,450,676,PPrel,-->,activation,hsa04060
54,453,677,PPrel,-->,activation,hsa04060
55,218,678,PPrel,-->,activation,hsa04060
56,219,678,PPrel,-->,activation,hsa04060
57,217,679,PPrel,-->,activation,hsa04060
58,220,680,PPrel,-->,activation,hsa04060
59,222,680,PPrel,-->,activation,hsa04060
60,221,681,PPrel,-->,activation,hsa04060
61,160,682,PPrel,-->,activation,hsa04060
62,159,683,PPrel,-->,activation,hsa04060
63,158,683,PPrel,-->,activation,hsa04060
64,158,684,PPrel,-->,activation,hsa04060
65,157,683,PPrel,-->,activation,hsa04060
66,157,684,PPrel,-->,activation,hsa04060
67,156,685,PPrel,-->,activation,hsa04060
68,152,686,PPrel,-->,activation,hsa04060
69,155,687,PPrel,-->,activation,hsa04060
70,154,687,PPrel,-->,activation,hsa04060
71,153,687,PPrel,-->,activation,hsa04060
72,166,688,PPrel,-->,activation,hsa04060
73,165,688,PPrel,-->,activation,hsa04060
74,164,688,PPrel,-->,activation,hsa04060
75,163,688,PPrel,-->,activation,hsa04060
76,162,688,PPrel,-->,activation,hsa04060
77,161,689,PPrel,-->,activation,hsa04060
78,96,690,PPrel,-->,activation,hsa04060
79,95,690,PPrel,-->,activation,hsa04060
80,96,79,PPrel,-->,activation,hsa04060
81,95,79,PPrel,-->,activation,hsa04060
82,458,79,PPrel,-->,activation,hsa04060
83,458,690,PPrel,--|,inhibition,hsa04060
84,459,691,PPrel,-->,activation,hsa04060
85,460,691,PPrel,-->,activation,hsa04060
86,462,691,PPrel,-->,activation,hsa04060
87,463,691,PPrel,-->,activation,hsa04060
88,464,691,PPrel,-->,activation,hsa04060
89,461,692,PPrel,-->,activation,hsa04060
90,94,692,PPrel,-->,activation,hsa04060
91,465,693,PPrel,-->,activation,hsa04060
92,99,694,PPrel,-->,activation,hsa04060
93,353,694,PPrel,-->,activation,hsa04060
94,98,352,PPrel,-->,activation,hsa04060
95,354,351,PPrel,-->,activation,hsa04060
96,97,695,PPrel,-->,activation,hsa04060
97,485,489,PPrel,-->,activation,hsa04060
98,487,490,PPrel,-->,activation,hsa04060
99,488,490,PPrel,-->,activation,hsa04060
100,264,249,PPrel,-->,activation,hsa04060
101,264,250,PPrel,-->,activation,hsa04060
102,141,249,PPrel,-->,activation,hsa04060
103,141,250,PPrel,-->,activation,hsa04060
104,141,127,PPrel,-->,activation,hsa04060
105,141,126,PPrel,-->,activation,hsa04060
106,140,127,PPrel,-->,activation,hsa04060
107,139,127,PPrel,-->,activation,hsa04060
108,139,126,PPrel,-->,activation,hsa04060
109,139,125,PPrel,-->,activation,hsa04060
110,138,125,PPrel,-->,activation,hsa04060
111,138,124,PPrel,-->,activation,hsa04060
112,262,125,PPrel,-->,activation,hsa04060
113,262,494,PPrel,-->,activation,hsa04060
114,259,260,PPrel,-->,activation,hsa04060
115,259,258,PPrel,-->,activation,hsa04060
116,259,256,PPrel,-->,activation,hsa04060
117,259,261,PPrel,-->,activation,hsa04060
118,129,114,PPrel,-->,activation,hsa04060
119,128,113,PPrel,-->,activation,hsa04060
120,498,251,PPrel,-->,activation,hsa04060
121,268,257,PPrel,-->,activation,hsa04060
122,268,254,PPrel,-->,activation,hsa04060
123,255,253,PPrel,-->,activation,hsa04060
124,136,122,PPrel,-->,activation,hsa04060
125,135,121,PPrel,-->,activation,hsa04060
126,137,123,PPrel,-->,activation,hsa04060
127,134,120,PPrel,-->,activation,hsa04060
128,133,119,PPrel,-->,activation,hsa04060
129,132,118,PPrel,-->,activation,hsa04060
130,131,117,PPrel,-->,activation,hsa04060
131,131,116,PPrel,-->,activation,hsa04060
132,130,117,PPrel,-->,activation,hsa04060
133,130,116,PPrel,-->,activation,hsa04060
134,130,115,PPrel,-->,activation,hsa04060
