,entry1,entry2,link,value,name,pathway
0,33,40,ECrel,51,compound,hsa00591
1,19,40,ECrel,51,compound,hsa00591
2,38,40,ECrel,51,compound,hsa00591
3,33,38,ECrel,51,compound,hsa00591
4,19,38,ECrel,51,compound,hsa00591
5,19,80,ECrel,51,compound,hsa00591
6,19,82,ECrel,51,compound,hsa00591
7,19,81,ECrel,51,compound,hsa00591
8,19,79,ECrel,51,compound,hsa00591
9,84,33,ECrel,51,compound,hsa00591
10,84,82,ECrel,51,compound,hsa00591
11,84,81,ECrel,51,compound,hsa00591
12,84,79,ECrel,51,compound,hsa00591
13,84,40,ECrel,51,compound,hsa00591
14,84,38,ECrel,51,compound,hsa00591
15,86,33,ECrel,51,compound,hsa00591
16,86,80,ECrel,51,compound,hsa00591
17,86,81,ECrel,51,compound,hsa00591
18,86,79,ECrel,51,compound,hsa00591
19,86,40,ECrel,51,compound,hsa00591
20,86,38,ECrel,51,compound,hsa00591
21,85,33,ECrel,51,compound,hsa00591
22,85,80,ECrel,51,compound,hsa00591
23,85,82,ECrel,51,compound,hsa00591
24,83,33,ECrel,51,compound,hsa00591
25,83,80,ECrel,51,compound,hsa00591
26,83,82,ECrel,51,compound,hsa00591
27,83,81,ECrel,51,compound,hsa00591
28,83,40,ECrel,51,compound,hsa00591
29,83,38,ECrel,51,compound,hsa00591
30,80,40,ECrel,51,compound,hsa00591
31,80,38,ECrel,51,compound,hsa00591
32,82,40,ECrel,51,compound,hsa00591
33,82,38,ECrel,51,compound,hsa00591
34,81,40,ECrel,51,compound,hsa00591
35,81,38,ECrel,51,compound,hsa00591
36,79,40,ECrel,51,compound,hsa00591
37,79,38,ECrel,51,compound,hsa00591
38,40,85,ECrel,51,compound,hsa00591
39,38,85,ECrel,51,compound,hsa00591
40,85,79,ECrel,51,compound,hsa00591
