,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C00024,cpd:C00024,cpd:C03939,cpd:C03939,reaction,rn:R01624,irreversible,5,11,hsa01212
1,cpd:C03939,cpd:C03939,cpd:C05744,cpd:C05744,reaction,rn:R04355,irreversible,11,12,hsa01212
2,cpd:C01209,cpd:C01209,cpd:C05744,cpd:C05744,reaction,rn:R04355,irreversible,15,12,hsa01212
3,cpd:C05744,cpd:C05744,cpd:C04618,cpd:C04618,reaction,rn:R04533,irreversible,12,13,hsa01212
4,cpd:C04618,cpd:C04618,cpd:C04246,cpd:C04246,reaction,rn:R04428,irreversible,13,16,hsa01212
5,cpd:C04246,cpd:C04246,cpd:C05745,cpd:C05745,reaction,rn:R04429 rn:R04430,irreversible,16,18,hsa01212
6,cpd:C05745,cpd:C05745,cpd:C05746,cpd:C05746,reaction,rn:R04952,irreversible,18,20,hsa01212
7,cpd:C05746,cpd:C05746,cpd:C05747,cpd:C05747,reaction,rn:R04953,irreversible,20,22,hsa01212
8,cpd:C05747,cpd:C05747,cpd:C05748,cpd:C05748,reaction,rn:R04954,irreversible,22,24,hsa01212
9,cpd:C05748,cpd:C05748,cpd:C05749,cpd:C05749,reaction,rn:R04955 rn:R04956,irreversible,24,26,hsa01212
10,cpd:C05749,cpd:C05749,cpd:C05750,cpd:C05750,reaction,rn:R04957,irreversible,26,30,hsa01212
11,cpd:C05752,cpd:C05752,cpd:C05753,cpd:C05753,reaction,rn:R04960,irreversible,36,39,hsa01212
12,cpd:C05751,cpd:C05751,cpd:C05752,cpd:C05752,reaction,rn:R04958 rn:R04959,irreversible,34,36,hsa01212
13,cpd:C04620,cpd:C04620,cpd:C05751,cpd:C05751,reaction,rn:R04537,irreversible,32,34,hsa01212
14,cpd:C05750,cpd:C05750,cpd:C04620,cpd:C04620,reaction,rn:R04536,irreversible,30,32,hsa01212
15,cpd:C05755,cpd:C05755,cpd:C05756,cpd:C05756,reaction,rn:R04963,irreversible,45,48,hsa01212
16,cpd:C05754,cpd:C05754,cpd:C05755,cpd:C05755,reaction,rn:R04961 rn:R04962,irreversible,43,45,hsa01212
17,cpd:C04619,cpd:C04619,cpd:C05754,cpd:C05754,reaction,rn:R04535,irreversible,41,43,hsa01212
18,cpd:C05753,cpd:C05753,cpd:C04619,cpd:C04619,reaction,rn:R04534,irreversible,39,41,hsa01212
19,cpd:C05223,cpd:C05223,cpd:C05759,cpd:C05759,reaction,rn:R04726,irreversible,54,57,hsa01212
20,cpd:C05758,cpd:C05758,cpd:C05223,cpd:C05223,reaction,rn:R04724 rn:R04725,irreversible,52,54,hsa01212
21,cpd:C05757,cpd:C05757,cpd:C05758,cpd:C05758,reaction,rn:R04965,irreversible,50,52,hsa01212
22,cpd:C05756,cpd:C05756,cpd:C05757,cpd:C05757,reaction,rn:R04964,irreversible,48,50,hsa01212
23,cpd:C05761,cpd:C05761,cpd:C05762,cpd:C05762,reaction,rn:R04968,irreversible,63,66,hsa01212
24,cpd:C05760,cpd:C05760,cpd:C05761,cpd:C05761,reaction,rn:R04966 rn:R04967,irreversible,61,63,hsa01212
25,cpd:C04688,cpd:C04688,cpd:C05760,cpd:C05760,reaction,rn:R04568,irreversible,59,61,hsa01212
26,cpd:C05759,cpd:C05759,cpd:C04688,cpd:C04688,reaction,rn:R04566,irreversible,57,59,hsa01212
27,cpd:C05763,cpd:C05763,cpd:C05764,cpd:C05764,reaction,rn:R04969 rn:R04970,irreversible,70,72,hsa01212
