,entry1,entry2,link,value,name,pathway
0,140,220,PPrel,-->,activation,hsa04512
1,137,220,PPrel,-->,activation,hsa04512
2,43,221,PPrel,-->,activation,hsa04512
3,35,221,PPrel,-->,activation,hsa04512
4,139,221,PPrel,-->,activation,hsa04512
5,34,222,PPrel,-->,activation,hsa04512
6,141,222,PPrel,-->,activation,hsa04512
7,78,222,PPrel,-->,activation,hsa04512
8,42,222,PPrel,-->,activation,hsa04512
9,135,222,PPrel,-->,activation,hsa04512
10,77,223,PPrel,-->,activation,hsa04512
11,138,223,PPrel,-->,activation,hsa04512
12,76,224,PPrel,-->,activation,hsa04512
13,33,225,PPrel,-->,activation,hsa04512
14,32,226,PPrel,-->,activation,hsa04512
15,75,227,PPrel,-->,activation,hsa04512
16,133,227,PPrel,-->,activation,hsa04512
17,130,227,PPrel,-->,activation,hsa04512
18,228,227,PPrel,-->,activation,hsa04512
19,57,229,PPrel,-->,activation,hsa04512
20,66,229,PPrel,-->,activation,hsa04512
21,84,229,PPrel,-->,activation,hsa04512
22,31,229,PPrel,-->,activation,hsa04512
23,41,230,PPrel,-->,activation,hsa04512
24,40,231,PPrel,-->,activation,hsa04512
25,74,232,PPrel,-->,activation,hsa04512
26,65,232,PPrel,-->,activation,hsa04512
27,62,232,PPrel,-->,activation,hsa04512
28,73,233,PPrel,-->,activation,hsa04512
29,61,234,PPrel,-->,activation,hsa04512
30,72,234,PPrel,-->,activation,hsa04512
31,132,234,PPrel,-->,activation,hsa04512
32,64,234,PPrel,-->,activation,hsa04512
33,56,234,PPrel,-->,activation,hsa04512
34,136,234,PPrel,-->,activation,hsa04512
35,80,234,PPrel,-->,activation,hsa04512
36,60,235,PPrel,-->,activation,hsa04512
37,71,235,PPrel,-->,activation,hsa04512
38,54,235,PPrel,-->,activation,hsa04512
39,79,235,PPrel,-->,activation,hsa04512
40,59,236,PPrel,-->,activation,hsa04512
41,53,236,PPrel,-->,activation,hsa04512
42,63,236,PPrel,-->,activation,hsa04512
43,70,237,PPrel,-->,activation,hsa04512
44,55,237,PPrel,-->,activation,hsa04512
45,39,238,PPrel,-->,activation,hsa04512
46,69,238,PPrel,-->,activation,hsa04512
47,30,238,PPrel,-->,activation,hsa04512
48,58,238,PPrel,-->,activation,hsa04512
49,29,239,PPrel,-->,activation,hsa04512
50,38,143,PPrel,-->,activation,hsa04512
51,68,143,PPrel,-->,activation,hsa04512
52,28,143,PPrel,-->,activation,hsa04512
53,37,108,PPrel,-->,activation,hsa04512
54,67,108,PPrel,-->,activation,hsa04512
55,83,108,PPrel,-->,activation,hsa04512
56,45,108,PPrel,-->,activation,hsa04512
57,27,107,PPrel,-->,activation,hsa04512
58,82,106,PPrel,-->,activation,hsa04512
59,51,240,PPrel,-->,activation,hsa04512
60,36,46,PPrel,-->,activation,hsa04512
61,26,241,PPrel,-->,activation,hsa04512
62,145,241,PPrel,-->,activation,hsa04512
63,109,241,PPrel,-->,activation,hsa04512
64,81,104,PPrel,-->,activation,hsa04512
65,143,131,PCrel,131,compound,hsa04512
66,103,52,PCrel,52,compound,hsa04512
67,216,237,PPrel,-->,activation,hsa04512
68,215,232,PPrel,-->,activation,hsa04512
69,219,234,PPrel,-->,activation,hsa04512
