,entry1,entry2,link,value,name,pathway
0,91,22,PPrel,+p,phosphorylation,hsa03460
1,91,7,PPrel,+p,phosphorylation,hsa03460
2,91,15,PPrel,+p,phosphorylation,hsa03460
3,91,12,PPrel,+p,phosphorylation,hsa03460
4,91,6,PPrel,+p,phosphorylation,hsa03460
5,35,33,PPrel,-->,activation,hsa03460
6,22,82,PPrel,---,binding/association,hsa03460
7,22,53,PPrel,---,binding/association,hsa03460
8,92,12,PPrel,+u,ubiquitination,hsa03460
9,92,11,PPrel,+u,ubiquitination,hsa03460
10,11,36,PPrel,-->,activation,hsa03460
11,93,41,PPrel,-->,activation,hsa03460
12,36,72,PPrel,-->,activation,hsa03460
13,11,42,PPrel,-->,activation,hsa03460
14,33,39,PPrel,+p,phosphorylation,hsa03460
15,94,16,PPrel,--|,inhibition,hsa03460
16,95,6,PPrel,---,binding/association,hsa03460
17,95,34,PPrel,---,binding/association,hsa03460
18,42,96,PPrel,-->,activation,hsa03460
19,38,93,PPrel,---,binding/association,hsa03460
20,38,96,PPrel,-->,activation,hsa03460
21,82,35,PPrel,---,binding/association,hsa03460
