,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C00084,cpd:C00084,cpd:C00033,cpd:C00033,reaction,rn:R00710,reversible,105,45,hsa00010
1,cpd:C00084,cpd:C00084,cpd:C00033,cpd:C00033,reaction,rn:R00711,reversible,105,45,hsa00010
2,cpd:C00469,cpd:C00469,cpd:C00084,cpd:C00084,reaction,rn:R00746,reversible,101,105,hsa00010
3,cpd:C00469,cpd:C00469,cpd:C00084,cpd:C00084,reaction,rn:R00754,reversible,101,105,hsa00010
4,cpd:C00068,cpd:C00068,cpd:C05125,cpd:C05125,reaction,rn:R00014,irreversible,146,103,hsa00010
5,cpd:C00022,cpd:C00022,cpd:C05125,cpd:C05125,reaction,rn:R00014,irreversible,102,103,hsa00010
6,cpd:C05125,cpd:C05125,cpd:C00068,cpd:C00068,reaction,rn:R03270,irreversible,103,146,hsa00010
7,cpd:C05125,cpd:C05125,cpd:C16255,cpd:C16255,reaction,rn:R03270,irreversible,103,106,hsa00010
8,cpd:C15972,cpd:C15972,cpd:C00068,cpd:C00068,reaction,rn:R03270,irreversible,100,146,hsa00010
9,cpd:C15972,cpd:C15972,cpd:C16255,cpd:C16255,reaction,rn:R03270,irreversible,100,106,hsa00010
10,cpd:C15973,cpd:C15973,cpd:C16255,cpd:C16255,reaction,rn:R02569,reversible,107,106,hsa00010
11,cpd:C00024,cpd:C00024,cpd:C16255,cpd:C16255,reaction,rn:R02569,reversible,104,106,hsa00010
12,cpd:C00186,cpd:C00186,cpd:C00022,cpd:C00022,reaction,rn:R00703,reversible,99,102,hsa00010
13,cpd:C00074,cpd:C00074,cpd:C00022,cpd:C00022,reaction,rn:R00200,irreversible,96,102,hsa00010
14,cpd:C00631,cpd:C00631,cpd:C00074,cpd:C00074,reaction,rn:R00658,reversible,89,96,hsa00010
15,cpd:C00631,cpd:C00631,cpd:C00197,cpd:C00197,reaction,rn:R01518,reversible,89,97,hsa00010
16,cpd:C00118,cpd:C00118,cpd:C00236,cpd:C00236,reaction,rn:R01061,reversible,139,98,hsa00010
17,cpd:C00118,cpd:C00118,cpd:C00111,cpd:C00111,reaction,rn:R01015,reversible,139,92,hsa00010
18,cpd:C05378,cpd:C05378,cpd:C00118,cpd:C00118,reaction,rn:R01070,reversible,108,139,hsa00010
19,cpd:C05378,cpd:C05378,cpd:C00111,cpd:C00111,reaction,rn:R01070,reversible,108,92,hsa00010
20,cpd:C05345,cpd:C05345,cpd:C05378,cpd:C05378,reaction,rn:R04779,irreversible,95,108,hsa00010
21,cpd:C05378,cpd:C05378,cpd:C05345,cpd:C05345,reaction,rn:R04780,irreversible,108,95,hsa00010
22,cpd:C00668,cpd:C00668,cpd:C05345,cpd:C05345,reaction,rn:R02740,reversible,94,95,hsa00010
23,cpd:C00103,cpd:C00103,cpd:C00668,cpd:C00668,reaction,rn:R00959,reversible,88,94,hsa00010
24,cpd:C01172,cpd:C01172,cpd:C05345,cpd:C05345,reaction,rn:R03321,reversible,93,95,hsa00010
25,cpd:C00221,cpd:C00221,cpd:C01172,cpd:C01172,reaction,rn:R01600,irreversible,91,93,hsa00010
26,cpd:C00221,cpd:C00221,cpd:C01172,cpd:C01172,reaction,rn:R01600,irreversible,91,93,hsa00010
27,cpd:C00668,cpd:C00668,cpd:C01172,cpd:C01172,reaction,rn:R02739,reversible,94,93,hsa00010
28,cpd:C00267,cpd:C00267,cpd:C00221,cpd:C00221,reaction,rn:R01602,reversible,90,91,hsa00010
29,cpd:C00267,cpd:C00267,cpd:C00668,cpd:C00668,reaction,rn:R01786,irreversible,90,94,hsa00010
30,cpd:C00267,cpd:C00267,cpd:C00668,cpd:C00668,reaction,rn:R01786,irreversible,90,94,hsa00010
31,cpd:C00668,cpd:C00668,cpd:C00267,cpd:C00267,reaction,rn:R01788,irreversible,94,90,hsa00010
32,cpd:C15973,cpd:C15973,cpd:C15972,cpd:C15972,reaction,rn:R07618,reversible,107,100,hsa00010
33,cpd:C00197,cpd:C00197,cpd:C00236,cpd:C00236,reaction,rn:R01512,reversible,97,98,hsa00010
34,cpd:C00036,cpd:C00036,cpd:C00074,cpd:C00074,reaction,rn:R00431 rn:R00726,irreversible,118,96,hsa00010
35,cpd:C01159,cpd:C01159,cpd:C00197,cpd:C00197,reaction,rn:R01516,reversible,134,97,hsa00010
36,cpd:C00236,cpd:C00236,cpd:C01159,cpd:C01159,reaction,rn:R01662,reversible,98,134,hsa00010
37,cpd:C00033,cpd:C00033,cpd:C00024,cpd:C00024,reaction,rn:R00235,irreversible,45,104,hsa00010
38,cpd:C00267,cpd:C00267,cpd:C00668,cpd:C00668,reaction,rn:R09085,irreversible,90,94,hsa00010
39,cpd:C00221,cpd:C00221,cpd:C01172,cpd:C01172,reaction,rn:R09086,reversible,91,93,hsa00010
40,cpd:C01159,cpd:C01159,cpd:C00631,cpd:C00631,reaction,rn:R09532,irreversible,134,89,hsa00010
