,entry1,entry2,link,value,name,pathway
0,143,144,ECrel,157,compound,hsa00590
1,143,145,ECrel,157,compound,hsa00590
2,139,144,ECrel,156,compound,hsa00590
3,139,145,ECrel,156,compound,hsa00590
4,139,140,ECrel,158,compound,hsa00590
5,140,142,ECrel,158,compound,hsa00590
6,138,140,ECrel,158,compound,hsa00590
7,129,140,ECrel,158,compound,hsa00590
8,139,142,ECrel,158,compound,hsa00590
9,138,139,ECrel,158,compound,hsa00590
10,129,139,ECrel,158,compound,hsa00590
11,138,142,ECrel,158,compound,hsa00590
12,129,142,ECrel,158,compound,hsa00590
13,129,138,ECrel,158,compound,hsa00590
14,141,142,ECrel,172,compound,hsa00590
15,112,128,ECrel,161,compound,hsa00590
16,104,128,ECrel,161,compound,hsa00590
17,103,128,ECrel,161,compound,hsa00590
18,104,112,ECrel,161,compound,hsa00590
19,103,112,ECrel,161,compound,hsa00590
20,133,134,ECrel,151,compound,hsa00590
21,135,136,ECrel,154,compound,hsa00590
22,133,135,ECrel,152,compound,hsa00590
23,131,135,ECrel,152,compound,hsa00590
24,131,133,ECrel,152,compound,hsa00590
25,125,131,ECrel,153,compound,hsa00590
26,125,132,ECrel,153,compound,hsa00590
27,51,97,ECrel,82,compound,hsa00590
28,52,98,ECrel,83,compound,hsa00590
29,53,99,ECrel,84,compound,hsa00590
30,54,100,ECrel,85,compound,hsa00590
31,108,130,ECrel,148,compound,hsa00590
32,119,130,ECrel,148,compound,hsa00590
33,220,130,ECrel,148,compound,hsa00590
34,118,130,ECrel,148,compound,hsa00590
35,130,132,ECrel,148,compound,hsa00590
36,130,137,ECrel,148,compound,hsa00590
37,128,130,ECrel,148,compound,hsa00590
38,100,130,ECrel,148,compound,hsa00590
39,99,130,ECrel,148,compound,hsa00590
40,98,130,ECrel,148,compound,hsa00590
41,97,130,ECrel,148,compound,hsa00590
42,127,130,ECrel,148,compound,hsa00590
43,107,130,ECrel,148,compound,hsa00590
44,106,130,ECrel,148,compound,hsa00590
45,108,220,ECrel,148,compound,hsa00590
46,108,132,ECrel,148,compound,hsa00590
47,108,137,ECrel,148,compound,hsa00590
48,108,128,ECrel,148,compound,hsa00590
49,100,108,ECrel,148,compound,hsa00590
50,99,108,ECrel,148,compound,hsa00590
51,98,108,ECrel,148,compound,hsa00590
52,97,108,ECrel,148,compound,hsa00590
53,108,127,ECrel,148,compound,hsa00590
54,107,108,ECrel,148,compound,hsa00590
55,106,108,ECrel,148,compound,hsa00590
56,119,220,ECrel,148,compound,hsa00590
57,118,119,ECrel,148,compound,hsa00590
58,119,132,ECrel,148,compound,hsa00590
59,119,137,ECrel,148,compound,hsa00590
60,119,128,ECrel,148,compound,hsa00590
61,100,119,ECrel,148,compound,hsa00590
62,99,119,ECrel,148,compound,hsa00590
63,98,119,ECrel,148,compound,hsa00590
64,97,119,ECrel,148,compound,hsa00590
65,119,127,ECrel,148,compound,hsa00590
66,107,119,ECrel,148,compound,hsa00590
67,106,119,ECrel,148,compound,hsa00590
68,220,132,ECrel,148,compound,hsa00590
69,220,137,ECrel,148,compound,hsa00590
70,220,128,ECrel,148,compound,hsa00590
71,220,127,ECrel,148,compound,hsa00590
72,107,220,ECrel,148,compound,hsa00590
73,106,220,ECrel,148,compound,hsa00590
74,118,132,ECrel,148,compound,hsa00590
75,118,137,ECrel,148,compound,hsa00590
76,118,128,ECrel,148,compound,hsa00590
77,100,118,ECrel,148,compound,hsa00590
78,99,118,ECrel,148,compound,hsa00590
79,98,118,ECrel,148,compound,hsa00590
80,97,118,ECrel,148,compound,hsa00590
81,118,127,ECrel,148,compound,hsa00590
82,107,118,ECrel,148,compound,hsa00590
83,106,118,ECrel,148,compound,hsa00590
84,132,137,ECrel,148,compound,hsa00590
85,128,132,ECrel,148,compound,hsa00590
86,100,132,ECrel,148,compound,hsa00590
87,99,132,ECrel,148,compound,hsa00590
88,98,132,ECrel,148,compound,hsa00590
89,97,132,ECrel,148,compound,hsa00590
90,127,132,ECrel,148,compound,hsa00590
91,107,132,ECrel,148,compound,hsa00590
92,106,132,ECrel,148,compound,hsa00590
93,128,137,ECrel,148,compound,hsa00590
94,100,137,ECrel,148,compound,hsa00590
95,99,137,ECrel,148,compound,hsa00590
96,98,137,ECrel,148,compound,hsa00590
97,97,137,ECrel,148,compound,hsa00590
98,127,137,ECrel,148,compound,hsa00590
99,107,137,ECrel,148,compound,hsa00590
100,106,137,ECrel,148,compound,hsa00590
101,100,128,ECrel,148,compound,hsa00590
102,99,128,ECrel,148,compound,hsa00590
103,98,128,ECrel,148,compound,hsa00590
104,97,128,ECrel,148,compound,hsa00590
105,127,128,ECrel,148,compound,hsa00590
106,107,128,ECrel,148,compound,hsa00590
107,106,128,ECrel,148,compound,hsa00590
108,100,127,ECrel,148,compound,hsa00590
109,100,107,ECrel,148,compound,hsa00590
110,100,106,ECrel,148,compound,hsa00590
111,99,127,ECrel,148,compound,hsa00590
112,99,107,ECrel,148,compound,hsa00590
113,99,106,ECrel,148,compound,hsa00590
114,98,127,ECrel,148,compound,hsa00590
115,98,107,ECrel,148,compound,hsa00590
116,98,106,ECrel,148,compound,hsa00590
117,97,127,ECrel,148,compound,hsa00590
118,97,107,ECrel,148,compound,hsa00590
119,97,106,ECrel,148,compound,hsa00590
120,107,127,ECrel,148,compound,hsa00590
121,106,127,ECrel,148,compound,hsa00590
122,106,107,ECrel,148,compound,hsa00590
123,130,50,maplink,148,compound,hsa00590
124,130,109,maplink,148,compound,hsa00590
125,108,50,maplink,148,compound,hsa00590
126,108,109,maplink,148,compound,hsa00590
127,119,50,maplink,148,compound,hsa00590
128,119,109,maplink,148,compound,hsa00590
129,220,50,maplink,148,compound,hsa00590
130,220,109,maplink,148,compound,hsa00590
131,118,50,maplink,148,compound,hsa00590
132,118,109,maplink,148,compound,hsa00590
133,132,50,maplink,148,compound,hsa00590
134,132,109,maplink,148,compound,hsa00590
135,137,50,maplink,148,compound,hsa00590
136,128,50,maplink,148,compound,hsa00590
137,100,50,maplink,148,compound,hsa00590
138,99,50,maplink,148,compound,hsa00590
139,98,50,maplink,148,compound,hsa00590
140,97,50,maplink,148,compound,hsa00590
141,50,109,maplink,148,compound,hsa00590
142,127,50,maplink,148,compound,hsa00590
143,107,50,maplink,148,compound,hsa00590
144,106,50,maplink,148,compound,hsa00590
145,137,109,maplink,148,compound,hsa00590
146,128,109,maplink,148,compound,hsa00590
147,100,109,maplink,148,compound,hsa00590
148,99,109,maplink,148,compound,hsa00590
149,98,109,maplink,148,compound,hsa00590
150,97,109,maplink,148,compound,hsa00590
151,127,109,maplink,148,compound,hsa00590
152,107,109,maplink,148,compound,hsa00590
153,106,109,maplink,148,compound,hsa00590
154,119,214,ECrel,148,compound,hsa00590
155,108,214,ECrel,148,compound,hsa00590
156,130,214,ECrel,148,compound,hsa00590
157,106,214,ECrel,148,compound,hsa00590
158,107,214,ECrel,148,compound,hsa00590
159,127,214,ECrel,148,compound,hsa00590
160,109,214,maplink,148,compound,hsa00590
161,97,220,ECrel,148,compound,hsa00590
162,98,220,ECrel,148,compound,hsa00590
163,99,220,ECrel,148,compound,hsa00590
164,100,220,ECrel,148,compound,hsa00590
165,128,214,ECrel,148,compound,hsa00590
166,137,214,ECrel,148,compound,hsa00590
167,50,214,maplink,148,compound,hsa00590
168,132,214,ECrel,148,compound,hsa00590
169,143,215,ECrel,157,compound,hsa00590
170,144,215,ECrel,157,compound,hsa00590
171,145,215,ECrel,157,compound,hsa00590
172,140,215,ECrel,158,compound,hsa00590
173,139,215,ECrel,158,compound,hsa00590
174,142,215,ECrel,158,compound,hsa00590
175,138,215,ECrel,158,compound,hsa00590
176,129,215,ECrel,158,compound,hsa00590
177,97,214,ECrel,148,compound,hsa00590
178,98,214,ECrel,148,compound,hsa00590
179,99,214,ECrel,148,compound,hsa00590
180,100,214,ECrel,148,compound,hsa00590
181,218,132,ECrel,148,compound,hsa00590
182,218,50,maplink,148,compound,hsa00590
183,218,137,ECrel,148,compound,hsa00590
184,218,128,ECrel,148,compound,hsa00590
185,218,100,ECrel,148,compound,hsa00590
186,218,99,ECrel,148,compound,hsa00590
187,218,98,ECrel,148,compound,hsa00590
188,218,97,ECrel,148,compound,hsa00590
189,218,109,maplink,148,compound,hsa00590
190,218,127,ECrel,148,compound,hsa00590
191,218,107,ECrel,148,compound,hsa00590
192,218,106,ECrel,148,compound,hsa00590
193,218,130,ECrel,148,compound,hsa00590
194,218,108,ECrel,148,compound,hsa00590
195,218,119,ECrel,148,compound,hsa00590
196,119,219,ECrel,148,compound,hsa00590
197,108,219,ECrel,148,compound,hsa00590
198,219,132,ECrel,148,compound,hsa00590
199,219,137,ECrel,148,compound,hsa00590
200,219,128,ECrel,148,compound,hsa00590
201,219,100,ECrel,148,compound,hsa00590
