,entry1,entry2,link,value,name,pathway
0,87,88,PPrel,-->,activation,hsa04310
1,88,85,PPrel,-->,activation,hsa04310
2,73,71,PPrel,-->,activation,hsa04310
3,48,49,PPrel,-->,activation,hsa04310
4,55,54,PPrel,+p,phosphorylation,hsa04310
5,85,77,PPrel,..>,indirect effect,hsa04310
6,68,65,PPrel,..>,indirect effect,hsa04310
7,36,33,PPrel,..>,indirect effect,hsa04310
8,33,29,PPrel,..>,indirect effect,hsa04310
9,31,28,PPrel,..>,indirect effect,hsa04310
10,26,25,PPrel,..>,indirect effect,hsa04310
11,86,88,PPrel,--|,inhibition,hsa04310
12,86,85,PPrel,--|,inhibition,hsa04310
13,83,88,PPrel,--|,inhibition,hsa04310
14,82,88,PPrel,--|,inhibition,hsa04310
15,81,84,PPrel,--|,inhibition,hsa04310
16,79,77,PPrel,--|,inhibition,hsa04310
17,76,77,PPrel,--|,inhibition,hsa04310
18,77,74,PPrel,--|,inhibition,hsa04310
19,53,71,PPrel,--|,inhibition,hsa04310
20,47,49,PPrel,--|,inhibition,hsa04310
21,52,71,PPrel,--|,inhibition,hsa04310
22,45,49,PPrel,--|,inhibition,hsa04310
23,46,49,PPrel,--|,inhibition,hsa04310
24,50,49,PPrel,---,binding/association,hsa04310
25,51,49,PPrel,---,binding/association,hsa04310
26,51,71,PPrel,---,binding/association,hsa04310
27,72,73,PPrel,---,binding/association,hsa04310
28,72,74,PPrel,--|,inhibition,hsa04310
29,72,71,PPrel,+p,phosphorylation,hsa04310
30,84,85,PPrel,---,binding/association,hsa04310
31,69,80,PPrel,---,binding/association,hsa04310
32,69,77,PPrel,---,binding/association,hsa04310
33,69,74,PPrel,---,binding/association,hsa04310
34,69,70,PPrel,---,binding/association,hsa04310
35,69,71,PPrel,---,binding/association,hsa04310
36,56,69,PPrel,---,binding/association,hsa04310
37,77,78,PPrel,---,binding/association,hsa04310
38,75,77,PPrel,---,binding/association,hsa04310
39,74,75,PPrel,---,binding/association,hsa04310
40,56,71,PPrel,---,binding/association,hsa04310
41,70,71,PPrel,---,binding/association,hsa04310
42,70,77,PPrel,---,binding/association,hsa04310
43,61,70,PPrel,---,binding/association,hsa04310
44,60,71,PPrel,+u,ubiquitination,hsa04310
45,61,71,PPrel,+u,ubiquitination,hsa04310
46,66,33,PPrel,-->,activation,hsa04310
47,66,77,PPrel,--|,inhibition,hsa04310
48,38,36,PPrel,-->,activation,hsa04310
49,32,33,PPrel,---,binding/association,hsa04310
50,31,32,PPrel,-+-,dissociation,hsa04310
51,31,30,PPrel,-->,activation,hsa04310
52,29,28,PPrel,-->,activation,hsa04310
53,25,24,PPrel,12,compound,hsa04310
54,25,23,PPrel,12,compound,hsa04310
55,25,22,PPrel,12,compound,hsa04310
56,23,21,PPrel,-p,dephosphorylation,hsa04310
57,71,49,PPrel,-->,activation,hsa04310
58,33,37,PPrel,---,binding/association,hsa04310
59,34,37,PPrel,---,binding/association,hsa04310
60,33,34,PPrel,---,binding/association,hsa04310
61,27,26,PPrel,-->,activation,hsa04310
62,49,44,GErel,-->,expression,hsa04310
63,49,43,GErel,-->,expression,hsa04310
64,49,42,GErel,-->,expression,hsa04310
65,49,41,GErel,-->,expression,hsa04310
66,49,40,GErel,-->,expression,hsa04310
67,49,39,GErel,-->,expression,hsa04310
68,88,84,PPrel,-->,activation,hsa04310
69,165,77,PPrel,-->,activation,hsa04310
70,169,84,PPrel,--|,inhibition,hsa04310
71,172,84,PPrel,--|,inhibition,hsa04310
72,175,33,PPrel,---,binding/association,hsa04310
73,176,88,PPrel,--|,inhibition,hsa04310
74,65,63,PPrel,---,binding/association,hsa04310
75,63,62,PPrel,---,binding/association,hsa04310
76,62,61,PPrel,---,binding/association,hsa04310
77,64,62,PPrel,---,binding/association,hsa04310
78,65,71,PPrel,---,binding/association,hsa04310
79,36,35,PPrel,---,binding/association,hsa04310
80,60,59,PPrel,---,binding/association,hsa04310
81,59,58,PPrel,---,binding/association,hsa04310
82,58,57,PPrel,---,binding/association,hsa04310
83,36,180,PPrel,---,binding/association,hsa04310
84,36,181,PPrel,---,binding/association,hsa04310
85,26,182,PPrel,---,binding/association,hsa04310
86,187,186,PPrel,,,hsa04310
87,187,184,PPrel,--|,inhibition,hsa04310
88,187,185,PPrel,--|,inhibition,hsa04310
89,184,85,PPrel,--|,inhibition,hsa04310
90,185,85,PPrel,--|,inhibition,hsa04310
91,198,49,PPrel,--|,inhibition,hsa04310
92,199,88,PPrel,--|,inhibition,hsa04310
93,199,84,PPrel,--|,inhibition,hsa04310
94,54,49,PPrel,--|,inhibition,hsa04310
95,54,49,PPrel,+p,phosphorylation,hsa04310
96,74,71,PPrel,--|,inhibition,hsa04310
97,74,71,PPrel,+p,phosphorylation,hsa04310
98,165,84,PPrel,-->,activation,hsa04310
99,165,84,PPrel,---,binding/association,hsa04310
100,165,85,PPrel,-->,activation,hsa04310
101,165,85,PPrel,---,binding/association,hsa04310
