,entry1,entry2,link,value,name,pathway
0,76,87,ECrel,122,compound,hsa00310
1,87,88,ECrel,118,compound,hsa00310
2,88,89,ECrel,115,compound,hsa00310
3,89,90,ECrel,112,compound,hsa00310
4,79,93,ECrel,108,compound,hsa00310
5,79,80,ECrel,109,compound,hsa00310
6,80,91,ECrel,110,compound,hsa00310
7,141,146,ECrel,152,compound,hsa00310
8,143,146,ECrel,152,compound,hsa00310
9,139,141,ECrel,153,compound,hsa00310
10,143,145,ECrel,153,compound,hsa00310
11,145,147,ECrel,155,compound,hsa00310
12,139,149,ECrel,155,compound,hsa00310
13,135,151,ECrel,160,compound,hsa00310
14,135,136,ECrel,160,compound,hsa00310
15,142,146,ECrel,154,compound,hsa00310
16,165,166,maplink,126,compound,hsa00310
17,76,165,maplink,126,compound,hsa00310
18,76,166,maplink,126,compound,hsa00310
19,89,78,maplink,115,compound,hsa00310
20,88,78,maplink,115,compound,hsa00310
21,91,92,maplink,111,compound,hsa00310
22,183,180,ECrel,181,compound,hsa00310
23,180,87,ECrel,118,compound,hsa00310
24,180,88,ECrel,118,compound,hsa00310
25,93,90,ECrel,113,compound,hsa00310
