,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C00035,cpd:C00035,cpd:C00361,cpd:C00361,reaction,rn:R02019,irreversible,362,360,hsa00230
1,cpd:C00385,cpd:C00385,cpd:C00366,cpd:C00366,reaction,rn:R02107,irreversible,343,341,hsa00230
2,cpd:C00117,cpd:C00117,cpd:C00119,cpd:C00119,reaction,rn:R01049,irreversible,311,312,hsa00230
3,cpd:C00064,cpd:C00064,cpd:C03090,cpd:C03090,reaction,rn:R01072,irreversible,315,313,hsa00230
4,cpd:C00119,cpd:C00119,cpd:C03090,cpd:C03090,reaction,rn:R01072,irreversible,312,313,hsa00230
5,cpd:C03090,cpd:C03090,cpd:C03838,cpd:C03838,reaction,rn:R04144,irreversible,313,376,hsa00230
6,cpd:C03838,cpd:C03838,cpd:C04376,cpd:C04376,reaction,rn:R04325,irreversible,376,374,hsa00230
7,cpd:C04640,cpd:C04640,cpd:C03373,cpd:C03373,reaction,rn:R04208,irreversible,373,371,hsa00230
8,cpd:C04677,cpd:C04677,cpd:C04734,cpd:C04734,reaction,rn:R04560,irreversible,377,314,hsa00230
9,cpd:C04823,cpd:C04823,cpd:C04677,cpd:C04677,reaction,rn:R04559,reversible,375,377,hsa00230
10,cpd:C04751,cpd:C04751,cpd:C04823,cpd:C04823,reaction,rn:R04591,reversible,372,375,hsa00230
11,cpd:C04751,cpd:C04751,cpd:C03373,cpd:C03373,reaction,rn:R04209,reversible,372,371,hsa00230
12,cpd:C04734,cpd:C04734,cpd:C00130,cpd:C00130,reaction,rn:R01127,reversible,314,330,hsa00230
13,cpd:C00002,cpd:C00002,cpd:C00008,cpd:C00008,reaction,rn:R00086,irreversible,390,324,hsa00230
14,cpd:C00002,cpd:C00002,cpd:C00008,cpd:C00008,reaction,rn:R00086,irreversible,390,324,hsa00230
15,cpd:C00008,cpd:C00008,cpd:C00002,cpd:C00002,reaction,rn:R00331,reversible,324,390,hsa00230
16,cpd:C00206,cpd:C00206,cpd:C00131,cpd:C00131,reaction,rn:R01137,reversible,322,323,hsa00230
17,cpd:C00008,cpd:C00008,cpd:C00206,cpd:C00206,reaction,rn:R02017,irreversible,324,322,hsa00230
18,cpd:C00008,cpd:C00008,cpd:C00020,cpd:C00020,reaction,rn:R00122,irreversible,324,325,hsa00230
19,cpd:C00020,cpd:C00020,cpd:C00008,cpd:C00008,reaction,rn:R00127,reversible,325,324,hsa00230
20,cpd:C03794,cpd:C03794,cpd:C00020,cpd:C00020,reaction,rn:R01083,irreversible,328,325,hsa00230
21,cpd:C00130,cpd:C00130,cpd:C03794,cpd:C03794,reaction,rn:R01135,irreversible,330,328,hsa00230
22,cpd:C00020,cpd:C00020,cpd:C00130,cpd:C00130,reaction,rn:R00181,irreversible,325,330,hsa00230
23,cpd:C00020,cpd:C00020,cpd:C00014,cpd:C00014,reaction,rn:R00181,irreversible,325,329,hsa00230
24,cpd:C00020,cpd:C00020,cpd:C00212,cpd:C00212,reaction,rn:R00183,irreversible,325,326,hsa00230
25,cpd:C00212,cpd:C00212,cpd:C00020,cpd:C00020,reaction,rn:R00185,reversible,326,325,hsa00230
26,cpd:C00020,cpd:C00020,cpd:C00147,cpd:C00147,reaction,rn:R00190,reversible,325,327,hsa00230
27,cpd:C00360,cpd:C00360,cpd:C00559,cpd:C00559,reaction,rn:R02088,reversible,321,320,hsa00230
28,cpd:C00559,cpd:C00559,cpd:C05512,cpd:C05512,reaction,rn:R02556,irreversible,320,319,hsa00230
29,cpd:C05512,cpd:C05512,cpd:C00262,cpd:C00262,reaction,rn:R02748,reversible,319,332,hsa00230
30,cpd:C01762,cpd:C01762,cpd:C00385,cpd:C00385,reaction,rn:R02297,reversible,367,343,hsa00230
31,cpd:C00130,cpd:C00130,cpd:C00294,cpd:C00294,reaction,rn:R01126,irreversible,330,331,hsa00230
32,cpd:C00212,cpd:C00212,cpd:C00294,cpd:C00294,reaction,rn:R01560,irreversible,326,331,hsa00230
33,cpd:C00104,cpd:C00104,cpd:C00130,cpd:C00130,reaction,rn:R00961,irreversible,369,330,hsa00230
34,cpd:C00104,cpd:C00104,cpd:C00081,cpd:C00081,reaction,rn:R00722,reversible,369,368,hsa00230
35,cpd:C00081,cpd:C00081,cpd:C00104,cpd:C00104,reaction,rn:R00719,irreversible,368,369,hsa00230
36,cpd:C00144,cpd:C00144,cpd:C00130,cpd:C00130,reaction,rn:R01134,irreversible,365,330,hsa00230
37,cpd:C00130,cpd:C00130,cpd:C00655,cpd:C00655,reaction,rn:R01130,irreversible,330,392,hsa00230
38,cpd:C00655,cpd:C00655,cpd:C00144,cpd:C00144,reaction,rn:R01230 rn:R01231,irreversible,392,365,hsa00230
39,cpd:C00035,cpd:C00035,cpd:C00144,cpd:C00144,reaction,rn:R00328,irreversible,362,365,hsa00230
40,cpd:C00035,cpd:C00035,cpd:C00144,cpd:C00144,reaction,rn:R00328,irreversible,362,365,hsa00230
41,cpd:C00262,cpd:C00262,cpd:C00130,cpd:C00130,reaction,rn:R01132,irreversible,332,330,hsa00230
42,cpd:C00212,cpd:C00212,cpd:C00147,cpd:C00147,reaction,rn:R01561,reversible,326,327,hsa00230
43,cpd:C00262,cpd:C00262,cpd:C00385,cpd:C00385,reaction,rn:R01769,irreversible,332,343,hsa00230
44,cpd:C00144,cpd:C00144,cpd:C00387,cpd:C00387,reaction,rn:R01227,irreversible,365,366,hsa00230
45,cpd:C00294,cpd:C00294,cpd:C00262,cpd:C00262,reaction,rn:R01863,reversible,331,332,hsa00230
46,cpd:C00385,cpd:C00385,cpd:C00655,cpd:C00655,reaction,rn:R02142,irreversible,343,392,hsa00230
47,cpd:C00655,cpd:C00655,cpd:C01762,cpd:C01762,reaction,rn:R02719,irreversible,392,367,hsa00230
48,cpd:C00242,cpd:C00242,cpd:C00144,cpd:C00144,reaction,rn:R01229,irreversible,355,365,hsa00230
49,cpd:C00144,cpd:C00144,cpd:C00035,cpd:C00035,reaction,rn:R00332,reversible,365,362,hsa00230
50,cpd:C00330,cpd:C00330,cpd:C00242,cpd:C00242,reaction,rn:R01969,reversible,356,355,hsa00230
51,cpd:C00242,cpd:C00242,cpd:C00385,cpd:C00385,reaction,rn:R01676,irreversible,355,343,hsa00230
52,cpd:C00499,cpd:C00499,cpd:C00603,cpd:C00603,reaction,rn:R02422,reversible,338,337,hsa00230
53,cpd:C00499,cpd:C00499,cpd:C00086,cpd:C00086,reaction,rn:R02422,reversible,338,336,hsa00230
54,cpd:C01228,cpd:C01228,cpd:C00035,cpd:C00035,reaction,rn:R00336,reversible,364,362,hsa00230
55,cpd:C04494,cpd:C04494,cpd:C01228,cpd:C01228,reaction,rn:R03409,reversible,363,364,hsa00230
56,cpd:C00044,cpd:C00044,cpd:C00035,cpd:C00035,reaction,rn:R00335,irreversible,380,362,hsa00230
57,cpd:C00035,cpd:C00035,cpd:C00044,cpd:C00044,reaction,rn:R00330,reversible,362,380,hsa00230
58,cpd:C00362,cpd:C00362,cpd:C00361,cpd:C00361,reaction,rn:R02090,reversible,357,360,hsa00230
59,cpd:C00361,cpd:C00361,cpd:C00286,cpd:C00286,reaction,rn:R01857,reversible,360,359,hsa00230
60,cpd:C00362,cpd:C00362,cpd:C00330,cpd:C00330,reaction,rn:R01968,reversible,357,356,hsa00230
61,cpd:C00387,cpd:C00387,cpd:C00242,cpd:C00242,reaction,rn:R02147,reversible,366,355,hsa00230
62,cpd:C00044,cpd:C00044,cpd:C00942,cpd:C00942,reaction,rn:R00434,irreversible,380,382,hsa00230
63,cpd:C00942,cpd:C00942,cpd:C00144,cpd:C00144,reaction,rn:R01234,irreversible,382,365,hsa00230
64,cpd:C00059,cpd:C00059,cpd:C00224,cpd:C00224,reaction,rn:R00529,irreversible,348,346,hsa00230
65,cpd:C00224,cpd:C00224,cpd:C00053,cpd:C00053,reaction,rn:R00509,irreversible,346,347,hsa00230
66,cpd:C00262,cpd:C00262,cpd:C00385,cpd:C00385,reaction,rn:R01768,irreversible,332,343,hsa00230
67,cpd:C00385,cpd:C00385,cpd:C00366,cpd:C00366,reaction,rn:R02103,irreversible,343,341,hsa00230
