,head id,head name,tail id,tail name,link type,relation name,relation value,entry1,entry2,pathway
0,cpd:C00025,cpd:C00025,cpd:C00669,cpd:C00669,reaction,rn:R00894,irreversible,55,699,hsa01240
1,cpd:C00097,cpd:C00097,cpd:C00669,cpd:C00669,reaction,rn:R00894,irreversible,33,699,hsa01240
2,cpd:C06054,cpd:C06054,cpd:C06055,cpd:C06055,reaction,rn:R05085,reversible,634,636,hsa01240
3,cpd:C00627,cpd:C00627,cpd:C00018,cpd:C00018,reaction,rn:R00278,irreversible,642,644,hsa01240
4,cpd:C00255,cpd:C00255,cpd:C00061,cpd:C00061,reaction,rn:R00549,irreversible,98,101,hsa01240
5,cpd:C00061,cpd:C00061,cpd:C00016,cpd:C00016,reaction,rn:R00161,irreversible,101,103,hsa01240
6,cpd:C00253,cpd:C00253,cpd:C01185,cpd:C01185,reaction,rn:R01724,irreversible,111,113,hsa01240
7,cpd:C00049,cpd:C00049,cpd:C05840,cpd:C05840,reaction,rn:R00481 rn:R07410 rn:R07407,irreversible,34,108,hsa01240
8,cpd:C00003,cpd:C00003,cpd:C00006,cpd:C00006,reaction,rn:R00104,irreversible,119,121,hsa01240
9,cpd:C00857,cpd:C00857,cpd:C00003,cpd:C00003,reaction,rn:R00189 rn:R00257,irreversible,117,119,hsa01240
10,cpd:C01185,cpd:C01185,cpd:C00857,cpd:C00857,reaction,rn:R03005,irreversible,113,117,hsa01240
11,cpd:C02700,cpd:C02700,cpd:C00328,cpd:C00328,reaction,rn:R01959,irreversible,123,126,hsa01240
12,cpd:C00328,cpd:C00328,cpd:C03227,cpd:C03227,reaction,rn:R01960,irreversible,126,124,hsa01240
13,cpd:C00078,cpd:C00078,cpd:C02700,cpd:C02700,reaction,rn:R00678,irreversible,70,123,hsa01240
14,cpd:C03227,cpd:C03227,cpd:C00632,cpd:C00632,reaction,rn:R02668,irreversible,124,128,hsa01240
15,cpd:C00632,cpd:C00632,cpd:C04409,cpd:C04409,reaction,rn:R02665,irreversible,128,130,hsa01240
16,cpd:C00183,cpd:C00183,cpd:C00141,cpd:C00141,reaction,rn:R01214,reversible,134,133,hsa01240
17,cpd:C03492,cpd:C03492,cpd:C04352,cpd:C04352,reaction,rn:R04230 rn:R04231,irreversible,146,149,hsa01240
18,cpd:C04352,cpd:C04352,cpd:C01134,cpd:C01134,reaction,rn:R03269,irreversible,149,147,hsa01240
19,cpd:C00864,cpd:C00864,cpd:C03492,cpd:C03492,reaction,rn:R03018,irreversible,138,146,hsa01240
20,cpd:C01134,cpd:C01134,cpd:C00882,cpd:C00882,reaction,rn:R03035,irreversible,147,153,hsa01240
21,cpd:C00882,cpd:C00882,cpd:C00010,cpd:C00010,reaction,rn:R00130,irreversible,153,151,hsa01240
22,cpd:C00314,cpd:C00314,cpd:C00627,cpd:C00627,reaction,rn:R01911 rn:R01909,reversible,647,642,hsa01240
23,cpd:C00250,cpd:C00250,cpd:C00018,cpd:C00018,reaction,rn:R00173 rn:R00174,reversible,648,644,hsa01240
24,cpd:C03722,cpd:C03722,cpd:C01185,cpd:C01185,reaction,rn:R03348,irreversible,114,113,hsa01240
25,cpd:C00044,cpd:C00044,cpd:C04895,cpd:C04895,reaction,rn:R00424,irreversible,78,158,hsa01240
26,cpd:C04895,cpd:C04895,cpd:C04874,cpd:C04874,reaction,rn:R04620,irreversible,158,160,hsa01240
27,cpd:C00415,cpd:C00415,cpd:C00101,cpd:C00101,reaction,rn:R00936 rn:R00939,reversible,168,170,hsa01240
