,entry1,entry2,link,value,name,pathway
0,32,30,PPrel,-->,activation,hsa01521
1,32,169,PPrel,-->,activation,hsa01521
2,32,170,PPrel,-->,activation,hsa01521
3,20,30,PPrel,-->,activation,hsa01521
4,20,169,PPrel,-->,activation,hsa01521
5,20,170,PPrel,-->,activation,hsa01521
6,153,170,PPrel,-->,activation,hsa01521
7,153,171,PPrel,-->,activation,hsa01521
8,75,172,PPrel,-->,activation,hsa01521
9,75,70,PPrel,-->,activation,hsa01521
10,104,71,PPrel,-->,activation,hsa01521
11,148,74,PPrel,-->,activation,hsa01521
12,105,73,PPrel,-->,activation,hsa01521
13,106,72,PPrel,-->,activation,hsa01521
14,107,76,PPrel,-->,activation,hsa01521
15,120,121,PPrel,-->,activation,hsa01521
16,122,123,PPrel,-->,activation,hsa01521
17,30,79,PPrel,-->,activation,hsa01521
18,30,115,PPrel,-->,activation,hsa01521
19,30,19,PPrel,-->,activation,hsa01521
20,30,26,PPrel,-->,activation,hsa01521
21,30,24,PPrel,-->,activation,hsa01521
22,169,79,PPrel,-->,activation,hsa01521
23,169,115,PPrel,-->,activation,hsa01521
24,169,19,PPrel,-->,activation,hsa01521
25,169,26,PPrel,-->,activation,hsa01521
26,169,24,PPrel,-->,activation,hsa01521
27,170,79,PPrel,-->,activation,hsa01521
28,170,115,PPrel,-->,activation,hsa01521
29,170,19,PPrel,-->,activation,hsa01521
30,170,26,PPrel,-->,activation,hsa01521
31,170,24,PPrel,-->,activation,hsa01521
32,171,79,PPrel,-->,activation,hsa01521
33,171,115,PPrel,-->,activation,hsa01521
34,171,19,PPrel,-->,activation,hsa01521
35,171,26,PPrel,-->,activation,hsa01521
36,171,24,PPrel,-->,activation,hsa01521
37,172,79,PPrel,-->,activation,hsa01521
38,172,115,PPrel,-->,activation,hsa01521
39,172,19,PPrel,-->,activation,hsa01521
40,172,26,PPrel,-->,activation,hsa01521
41,172,24,PPrel,-->,activation,hsa01521
42,70,79,PPrel,-->,activation,hsa01521
43,70,115,PPrel,-->,activation,hsa01521
44,70,19,PPrel,-->,activation,hsa01521
45,70,26,PPrel,-->,activation,hsa01521
46,70,24,PPrel,-->,activation,hsa01521
47,71,79,PPrel,-->,activation,hsa01521
48,71,115,PPrel,-->,activation,hsa01521
49,71,19,PPrel,-->,activation,hsa01521
50,71,26,PPrel,-->,activation,hsa01521
51,71,24,PPrel,-->,activation,hsa01521
52,74,79,PPrel,-->,activation,hsa01521
53,74,115,PPrel,-->,activation,hsa01521
54,74,19,PPrel,-->,activation,hsa01521
55,74,26,PPrel,-->,activation,hsa01521
56,74,24,PPrel,-->,activation,hsa01521
57,73,79,PPrel,-->,activation,hsa01521
58,73,115,PPrel,-->,activation,hsa01521
59,73,19,PPrel,-->,activation,hsa01521
60,73,26,PPrel,-->,activation,hsa01521
61,73,24,PPrel,-->,activation,hsa01521
62,72,79,PPrel,-->,activation,hsa01521
63,72,115,PPrel,-->,activation,hsa01521
64,72,19,PPrel,-->,activation,hsa01521
65,72,26,PPrel,-->,activation,hsa01521
66,72,24,PPrel,-->,activation,hsa01521
67,76,79,PPrel,-->,activation,hsa01521
68,76,115,PPrel,-->,activation,hsa01521
69,76,19,PPrel,-->,activation,hsa01521
70,76,26,PPrel,-->,activation,hsa01521
71,76,24,PPrel,-->,activation,hsa01521
72,121,79,PPrel,-->,activation,hsa01521
73,121,115,PPrel,-->,activation,hsa01521
74,121,19,PPrel,-->,activation,hsa01521
75,121,26,PPrel,-->,activation,hsa01521
76,121,24,PPrel,-->,activation,hsa01521
77,123,79,PPrel,-->,activation,hsa01521
78,123,115,PPrel,-->,activation,hsa01521
79,123,19,PPrel,-->,activation,hsa01521
80,123,26,PPrel,-->,activation,hsa01521
81,123,24,PPrel,-->,activation,hsa01521
82,19,28,PPrel,-->,activation,hsa01521
83,28,27,PCrel,-->,activation,hsa01521
84,27,29,PCrel,-->,activation,hsa01521
85,15,131,PPrel,-->,activation,hsa01521
86,14,132,PPrel,--|,inhibition,hsa01521
87,138,144,GErel,-->,expression,hsa01521
88,26,12,PCrel,-->,activation,hsa01521
89,12,25,PCrel,-->,activation,hsa01521
90,24,23,PPrel,-->,activation,hsa01521
91,23,22,PPrel,-->,activation,hsa01521
92,22,37,PPrel,-->,activation,hsa01521
93,37,36,PPrel,-->,activation,hsa01521
94,87,83,PPrel,-->,activation,hsa01521
95,87,84,PPrel,--|,inhibition,hsa01521
96,87,82,PPrel,--|,inhibition,hsa01521
97,84,83,PPrel,--|,inhibition,hsa01521
98,82,83,PPrel,--|,inhibition,hsa01521
99,78,116,PPrel,---,binding/association,hsa01521
100,70,150,PPrel,-->,activation,hsa01521
101,70,150,PPrel,+p,phosphorylation,hsa01521
102,93,30,PCrel,--|,inhibition,hsa01521
103,93,30,PCrel,-/-,missing interaction,hsa01521
104,93,9,PCrel,--|,inhibition,hsa01521
105,93,9,PCrel,-/-,missing interaction,hsa01521
106,93,149,PCrel,--|,inhibition,hsa01521
107,93,149,PCrel,-/-,missing interaction,hsa01521
108,92,30,PCrel,--|,inhibition,hsa01521
